,C,count,sigma_nor,vocab_index,word,vector,topic,exemplar,word*,pos,x2D,y2D
50,14.289063171452995,85,2.4446850320721536,68,t,"[ 3.5812244   2.3018823   5.4428954   3.0965593   2.037052    1.3811244
 -1.815895    0.87237346  0.44710392 -1.5284451 ]",1,*,t*,10,-12.04246997833252,1.399835467338562
51,10.780149354950018,85,2.0856357932841014,69,different,"[2.6749659  2.072879   5.1264534  2.6535943  3.214215   1.0463393
 0.08476794 1.4732113  0.4227596  0.17164454]",3,*,different*,2,0.5717489123344421,-10.46668815612793
52,15.177864627299407,85,2.5356315479582032,70,similar,"[2.8067157  2.1120462  5.144239   2.671116   3.1134877  1.1318115
 0.03469978 1.4895127  0.2883972  0.04740303]",3,*,similar*,3,0.8035351634025574,-10.562556266784668
53,14.928148014776829,85,2.510079321734443,71,pipelines,"[2.6387718 2.6381702 6.222482  2.6013339 3.6103    1.3946209 1.2486403
 2.225237  1.2942232 0.6881209]",-1,,pipelines,17,3.3728322982788086,-0.6188928484916687
54,20.83467278795038,85,3.1144638505640176,72,conference,"[2.2276583  2.6996882  6.1428666  2.0378747  3.0042326  0.671865
 0.28431693 2.0494325  1.2463591  0.8755459 ]",-1,,conference,18,1.1291086673736572,-0.73941570520401
55,21.76739360667522,85,3.2099044106569643,73,h,"[ 3.5291615   2.4339907   5.4467707   3.1264536   1.8520677   1.237613
 -1.6803889   0.8211513   0.36392787 -1.8775429 ]",1,*,h*,11,-11.526788711547852,1.8115365505218506
56,13.294698851452466,80,2.3794667680869344,74,tvcg,"[ 3.6868608   2.6051092   5.4800014   3.4174762   1.1920493   0.9686834
 -0.84926176  0.7198807  -0.07828664 -2.966033  ]",2,,tvcg,2,-9.777925491333008,5.091432094573975
57,18.764087460074766,80,2.9545926048595437,77,proceedings,"[2.1336017  2.5826788  6.1229353  1.9984958  3.0453763  0.71805435
 0.35158837 2.099743   1.3730531  0.8860921 ]",-1,,proceedings,19,0.9123882055282593,-1.006481647491455
58,18.85697026322892,80,2.9643595648816574,78,l,"[ 3.5264208  2.285487   5.475917   3.3080254  1.692719   1.2799803
 -1.6122923  0.7577489  0.5006208 -1.7593527]",1,*,l*,12,-11.597238540649414,1.722259521484375
59,8.17395651629162,75,1.864951427322147,80,documents,"[2.2294102  2.674337   6.346958   1.9152552  3.1755316  1.0019962
 0.79628265 2.2505336  1.5515245  1.1690594 ]",-1,,documents,20,0.9204323291778564,-1.7006243467330933
60,10.53580054954893,75,2.1205798621291176,82,link,"[ 3.2373958   2.4200356   5.7169533   2.6057851   2.5062103   1.3159668
 -0.28487492  1.7940495   0.36322656 -0.61730176]",-1,,link,21,1.1754212379455566,-11.249040603637695
61,17.01029688204237,75,2.8213311989378416,83,2014,"[ 4.199281   1.8179727  4.870104   2.036678   1.9999827  2.2699513
 -1.5453672  2.2373307 -0.6947737 -1.6285369]",0,*,2014*,2,-14.491964340209961,-0.12347444146871567
62,6.628330326862386,70,1.7186027629091136,85,structure,"[2.35948   2.6415951 6.1783547 1.982603  3.360579  1.276477  0.5015609
 2.0990117 1.0207556 0.7405967]",-1,,structure,22,1.7756831645965576,-1.1139461994171143
63,7.059374847153493,70,1.7667078424490021,88,result,"[ 3.0447676   2.3589234   5.7420015   2.3251224   2.6774704   1.2921058
 -0.17725955  1.9810919   0.39353946 -0.19948532]",3,,result,4,1.2994526624679565,-11.168028831481934
