pos,4,3,1,0,2
1,acm*,b,jigsaw,2010*,a
2,sensemaker,j,groups*,2009*,displays
3,sdg,t1,participants,1998*,single
4,sigchi*,p,activities,2007,record
5,ieee*,r*,tools,2011*,closely
6,elon*,m*,analytics,1993,defined*
7,wysiwis*,d*,systems,,connect*
8,,c*,loop,,important
9,,chi,scenario,,reread
10,,w,activity,,worked*
11,,,proceedings,,spent*
12,,,tool,,notes
13,,,entities*,,clustered
14,,,factors*,,coupled
15,,,teams*,,established
16,,,connections,,clearly
17,,,hypotheses,,integrate
18,,,scenarios,,
19,,,application,,
20,,,meetings,,
