,C,count,sigma_nor,vocab_index,word,vector,topic,exemplar,word*,pos,x2D,y2D
0,4.690899716113351,110,1.4132559995270648,0,sensemaking,"[ 0.9853743  -4.1309624  -0.8104559  -0.28147185  5.1932945   1.8965029
 -1.4442573   0.9057677   2.038501    0.617555  ]",-1,,sensemaking,1,-7.215257167816162,-1.594451665878296
1,8.067053520497028,82,1.8208530625925956,3,documents,"[ 0.11855584 -3.991004   -1.1823719  -0.7642258   5.5356827   1.8804623
 -2.4454677   1.9622762   2.5225158   1.2621365 ]",-1,,documents,2,5.530023097991943,-1.5033668279647827
2,5.074576638456613,78,1.5207097127057678,4,jigsaw,"[ 0.423181  -4.0544567 -0.9842292 -1.2352941  5.384193   2.0415776
 -2.1466296  2.2717307  1.6757814  1.3998159]",1,,jigsaw,1,6.475265026092529,-0.06305846571922302
3,14.295445026767272,74,2.53651249668502,5,groups,"[ 0.8361948  -3.813132   -0.8980397  -1.399027    5.631975    1.9705253
 -2.903788    1.9493514   2.1229916   0.94128275]",1,*,groups*,2,6.5774688720703125,-1.5537298917770386
4,6.654463009953366,72,1.712881047920251,6,text,"[ 0.09489692 -4.1042047  -1.2782309  -0.347742    5.3488755   1.9614494
 -1.2586007   1.4555719   2.6488624   1.4826487 ]",-1,,text,3,-9.557963371276855,0.7274229526519775
5,4.975184588378582,62,1.5618657022510454,9,editor,"[ 0.36426562 -4.180231   -1.1298289  -0.5031003   5.448443    1.8623317
 -1.52306     1.5719508   2.2084272   1.1882774 ]",-1,,editor,4,4.512463569641113,-0.9595868587493896
6,8.340605171343022,62,1.9580406432413164,10,participants,"[ 0.70148665 -3.865285   -0.9385465  -1.1924573   5.840929    1.6794815
 -2.8547156   1.8161404   2.1942446   0.81760377]",1,,participants,3,6.514285564422607,-1.6755459308624268
7,8.88452184091874,50,2.1180813426765037,16,activities,"[ 0.36259055 -4.100958   -0.7972375  -1.0172222   5.7297115   1.7388018
 -2.831535    2.008523    2.056251    0.9006855 ]",1,,activities,4,6.091179370880127,-1.6267915964126587
8,6.860434806822452,46,1.8859228588070536,18,visual,"[-0.08272786 -4.086663   -0.7390968  -0.8070763   4.734172    2.5600522
 -1.1842281   2.012482    2.1034317   2.046526  ]",-1,,visual,5,3.062100648880005,1.0674338340759277
9,9.32253578330396,44,2.237320149951592,20,a,"[-0.42030236 -4.026227   -0.7060548  -0.78946024  4.8150845   2.580766
 -1.4521527   2.2479088   2.0839655   2.1836052 ]",2,,a,1,2.8265185356140137,1.2138620615005493
10,7.5215109035254395,42,2.0103013636111156,22,tools,"[ 0.64026827 -3.9653072  -1.0778263  -1.1952806   5.1579127   2.1692405
 -2.275145    2.177108    1.8178374   1.2729483 ]",1,,tools,5,6.282333850860596,-0.4541906714439392
11,6.4770784227660965,42,1.8651675913276076,24,analytics,"[ 0.8309291 -3.9306903 -1.0093526 -1.1808541  5.2485332  2.06231
 -2.2428882  1.9345832  1.7981102  1.102946 ]",1,,analytics,6,6.435676574707031,-0.40566977858543396
12,11.044301745953188,40,2.5293123570383753,26,t4,"[ 0.55947304 -4.2284884  -0.9801802   0.28862524  5.1451373   1.9240292
 -0.3868523   0.59154856  2.457123    0.9255571 ]",-1,,t4,6,-8.02835464477539,-0.7623993158340454
13,22.484846235619838,40,4.151390690019295,27,acm,"[ 0.8271343  -4.0609984  -0.9533456   0.04956508  5.1470933   1.7497382
 -0.6965326   0.5338707   2.3082201   0.65061545]",4,*,acm*,1,-7.636470317840576,-0.9636082053184509
14,12.682146108726748,38,2.7977632278392432,28,systems,"[ 0.68123627 -3.8441267  -0.9883691  -1.3819677   5.332589    2.2408087
 -2.6783092   2.101334    2.073861    1.2151492 ]",1,,systems,7,6.671302318572998,-0.7977712750434875
15,7.855892403221347,38,2.098978770814117,29,b,"[ 0.09889758 -4.3394833  -1.107395   -0.08011413  5.07575     2.25202
 -0.23984927  0.983028    2.7561083   1.856904  ]",3,,b,1,-9.379475593566895,-0.0924023762345314
16,14.969083874489089,36,3.1747974117986844,32,pp,"[ 0.06789592 -4.112207   -1.2433364  -0.03218715  4.983017    2.1591938
 -0.88974434  1.1099632   3.0189722   1.5155784 ]",-1,,pp,7,-9.171014785766602,0.37202197313308716
17,19.472083311296227,36,3.841215319224665,35,j,"[ 0.44495988 -4.17728    -1.1181743   0.1037955   4.989127    2.1212473
 -0.23637263  0.6952037   2.7755945   1.3928322 ]",3,,j,2,-8.77892017364502,-0.2444913238286972
18,5.31248345931829,34,1.7615853601328963,38,loop,"[ 0.17031562 -4.1372743  -0.6069903  -1.1711031   5.347168    2.296653
 -2.6981518   2.3067555   1.9817421   1.3792255 ]",1,,loop,8,6.100345134735107,-0.6105365753173828
19,8.155772089517907,32,2.2195692610252524,40,t1,"[ 0.49172744 -4.202087   -1.066005    0.24309587  5.122014    1.9709685
 -0.39151463  0.6843014   2.5671065   1.0466607 ]",3,,t1,3,-8.2002534866333,-0.6033610701560974
20,9.896208853388767,30,2.525853603912118,43,scenario,"[ 0.25631705 -3.8112478  -1.1805341  -1.4057006   5.8311787   1.7255012
 -2.3618689   2.3868175   1.7931054   1.4279649 ]",1,,scenario,9,7.11639404296875,-0.8315322399139404
21,16.312012232762896,30,3.5464483545931307,44,conference,"[ 0.39913797 -3.998364   -0.84997    -0.6063159   5.552439    1.7156864
 -2.357588    1.3640715   2.3538883   0.7798417 ]",-1,,conference,8,5.282883644104004,-1.335646390914917
22,5.4535728447780265,28,1.8392007159483879,49,activity,"[ 0.2855601 -4.19418   -0.6869472 -1.0164661  5.667875   1.7882628
 -2.387879   2.082497   1.7958575  1.0679269]",1,,activity,10,5.9397172927856445,-1.083209753036499
23,15.08612569199372,28,3.4128261138577396,50,proceedings,"[ 0.14900202 -4.118058   -0.87150097 -0.7658735   5.7143946   1.6302694
 -2.600631    1.7993572   2.1672618   0.9778095 ]",1,,proceedings,11,5.786965370178223,-1.4096118211746216
24,10.249889017680832,26,2.6666759685279637,51,computing,"[ 0.7131777 -3.951884  -0.6834007 -0.8640398  4.892154   2.4575686
 -2.3706677  1.585441   2.1754534  1.0110036]",-1,,computing,9,5.287140846252441,-0.5269476771354675
25,9.4430009785843,26,2.531099084237717,54,p,"[ 0.23247193 -4.1718698  -1.2414781  -0.14495714  5.0233955   2.1736293
 -0.6282027   0.9381042   3.1382492   1.4921303 ]",3,,p,4,-9.076041221618652,0.18080122768878937
26,4.657668945308095,26,1.7270465070148178,56,displays,"[-0.48798415 -4.0644736  -0.7384814  -0.694996    4.4860573   2.771936
 -1.5852171   2.1162603   2.8211122   2.1764755 ]",2,,displays,2,2.1423869132995605,0.6405328512191772
27,7.330838349676194,26,2.1762042110130584,58,single,"[-0.15600121 -4.033254   -0.7305943  -0.9726072   5.0705085   2.3533332
 -1.6319493   2.1331925   2.0868542   1.9023947 ]",2,,single,3,3.458200216293335,1.2830878496170044
28,4.83875918106305,26,1.7574740864923044,59,tool,"[ 0.18059354 -4.060983   -1.0233059  -1.0353557   5.3243885   2.012853
 -1.9978924   2.2792785   1.7486484   1.4770069 ]",1,,tool,12,5.867958068847656,0.0299161896109581
29,13.877607020105943,26,3.2762211346741097,60,human,"[ 0.03660912 -4.076564   -0.71433216 -0.9275562   4.7993145   2.5083172
 -1.2928101   2.040003    1.9943588   1.9490551 ]",-1,,human,10,3.2260735034942627,1.2016282081604004
30,12.319640953251282,24,3.072624955580108,68,entities,"[ 0.6898532 -3.8557856 -1.0527021 -1.3772275  5.5764575  2.0688472
 -2.9637084  2.0836318  2.236258   1.0583469]",1,*,entities*,13,6.698939323425293,-1.2694823741912842
31,8.732690756248001,24,2.4516961855307366,69,cluster,"[ 0.37905276 -3.9834845  -0.6017443  -0.8987077   4.7561007   2.6659422
 -2.4397855   1.8825594   2.2322545   1.3215628 ]",-1,,cluster,11,5.41160249710083,-0.381216436624527
32,6.401159495094338,22,2.078559459055897,72,factors,"[ 0.69519717 -3.78168    -1.0510131  -1.5119141   5.607694    1.9827118
 -2.8022065   2.2628472   1.8891577   1.1694862 ]",1,*,factors*,14,6.840889930725098,-1.1649203300476074
33,4.996595640445047,22,1.827588111906714,75,record,"[-0.38275182 -4.0098286  -0.90882605 -0.8289359   5.2417035   2.1859336
 -1.7468449   2.1946723   2.2745085   1.9220803 ]",2,,record,4,3.6518867015838623,1.0681565999984741
34,7.6985387577516535,22,2.3103787674018474,76,review,"[-0.33891422 -4.248027   -0.77154905 -0.4975947   5.222014    2.1981664
 -2.1410544   2.0467322   2.107814    1.5366949 ]",-1,,review,12,3.9751248359680176,0.9350822567939758
35,12.259969428456712,22,3.1254277924533254,77,r,"[ 0.19015196 -4.106262   -1.2053713  -0.0198725   5.1003      2.0103354
 -0.21977249  0.8393191   2.9434395   1.5523976 ]",3,*,r*,5,-9.030485153198242,-0.2966255247592926
36,11.845949732500834,22,3.05144961018956,78,m,"[ 0.20872246 -4.1722026  -1.2574735   0.1337017   4.969493    2.2124228
 -0.18742524  0.8733504   2.9348373   1.6154585 ]",3,*,m*,6,-9.052051544189453,-0.27172890305519104
37,7.0935753046239425,20,2.2396939103079143,86,forager,"[ 0.61164844 -4.182162   -0.9828203  -0.6213291   5.481658    1.8124471
 -1.6427194   1.4652016   2.0368483   0.9611452 ]",-1,,forager,13,4.774462699890137,-1.1627477407455444
38,10.707291914137054,20,2.907625790338667,87,d,"[ 0.02997127 -4.271714   -1.232388    0.11166708  5.0682125   2.2589283
 -0.31363383  1.0400851   2.877194    1.7128078 ]",3,*,d*,7,-9.45607852935791,-0.19184398651123047
39,12.062159880356589,18,3.232877045302771,95,closely,"[-0.5425252  -4.10075    -0.522086   -0.64816695  4.5184407   3.0786598
 -2.039854    2.3773704   2.3750753   2.194248  ]",2,,closely,5,1.8084912300109863,0.5884705781936646
40,9.444324506280001,18,2.7311447030913376,96,c,"[ 0.19125807 -4.1219316  -1.0970948  -0.05582009  4.9529266   2.1830597
 -0.25883812  1.0008084   2.7455478   1.7543998 ]",3,*,c*,8,-9.261761665344238,0.06871981173753738
41,5.66715373894073,16,2.041179083991134,97,teams,"[ 0.822435   -3.8011227  -1.0436795  -1.370599    5.6920605   1.8236085
 -2.7096598   1.9392318   2.0472724   0.98372966]",1,*,teams*,15,6.822597503662109,-1.4330196380615234
42,5.4501774537977745,16,1.997937600269733,101,groupware,"[ 1.0029641  -4.122003   -0.72545767 -0.14645492  5.057041    2.027527
 -1.3869169   0.7974112   2.125901    0.6279755 ]",-1,,groupware,14,-7.463380336761475,-1.7150354385375977
