index,bert_vector
LXQ5QRAX,"[[-0.35272557, -0.00015405804, 0.33975494, -0.07625897, 0.5400374, -0.042648684, -0.48865756, 0.0830806, -0.32680959, -0.32519686, 0.25648463, -0.36407402, 0.119587116, 0.23856694, -0.1137217, 0.66516066, 0.113135904, -0.10477912, -0.4023553, 0.24085815, 0.3826868, -0.521436, -0.1213323, 0.5484711, -0.06481934, 0.11381135, 0.31489554, 0.2771364, -0.06702625, 0.05654437, 0.4117846, 0.4412611, 0.41835904, -0.5920344, 0.18348762, -0.075229414, -0.25303966, 0.12354181, -0.028465662, 0.4164453, -0.37086987, -0.44163027, -0.035884418, -0.6365886, 0.36406446, 0.16808215, -0.52950865, -0.4009695, 0.0079939915, 0.046742316, -1.2122734, -0.33652213, 0.22520742, -0.28105003, 0.004193382, 0.7059035, -0.010989176, -0.76283944, 0.54831475, 0.21258274, -0.6135014, -0.3188763, -0.007376226, -0.05118024, -0.3982327, -0.43428463, 0.31849965, 0.14513236, -0.17436247, 0.5289806, -0.18624124, 0.37280214, 0.103287734, 0.27403393, -0.32922977, -0.061013754, -0.067999475, -0.074273676, 0.5407578, -0.035243165, -0.2508472, -0.13043843, 0.19270125, 0.16042319, 0.5268197, 0.48398045, -0.039946508, 0.09615936, -0.20191793, 0.34324023, -0.336786, -0.12952551, -0.27702376, 0.31624103, 0.5508296, -0.34129336, -0.43956175, 0.0093264785, 0.05736074, 0.24362923, ...]]"
HDQVL9W2,"[[-0.13792717, -0.1542536, 0.2689855, 0.00012489886, 0.86614466, 0.15649903, -0.22890344, 0.30776143, -0.48763385, -0.39073884, 0.015639603, -0.14518438, -0.37724522, 0.29017967, -0.014664136, 1.0880275, -0.13049494, 0.098255984, 0.05677722, -0.07522997, -0.10851975, 0.1438006, 0.14098297, 0.46580166, 0.27161533, -0.2005684, -0.22487545, 0.08355253, -0.031930298, 0.25023806, 0.11125807, 0.33515167, -0.14931913, -0.31492782, 0.3002578, -0.4061598, -0.33003727, 0.42085624, 0.07238804, 0.60458666, -0.68286985, -0.6612165, -0.13294572, -0.35486102, 0.28305948, 0.118503846, -0.00728244, -0.6091899, -0.08737531, -0.3312801, -1.2810842, -0.15000962, -0.464782, -0.20907076, 0.06517534, 0.3368823, 0.061714552, -1.0129648, 0.44440255, 0.0015941882, -0.22724745, 0.08020943, -0.6218185, 0.25831997, 0.0689414, -0.5105669, -0.03320881, 0.06075667, -0.54470015, 0.42940482, 0.10802403, 0.07583344, -0.34916106, 0.120327175, -0.19895214, 0.11192665, -0.5704056, 0.3921736, -0.05824156, -0.347646, -0.17234027, 0.4989814, 0.40495887, -0.002870894, 0.36379206, 0.7647433, -0.12865314, 0.5082871, -0.08318611, 0.43325564, -0.46642348, 0.18096474, -0.3899065, 0.23543632, 0.36691776, -0.63426155, -0.45399153, 0.056029648, -0.22056723, 0.05729053, ...]]"
