,C,count,sigma_nor,vocab_index,word,threshold,vector,topic,exemplar,word*,pos,x2D,y2D
118,8.08050436008906,88,1.9019882780324309,130,topic,4.710945251673152,"[  1.0750893  -2.7410266  -3.7813287   1.216504    1.2738785  -6.3453054
  -1.0687139 -10.284845   -0.5006006  -1.9518813]",25,,topic,3,3.42319917678833,12.62912368774414
119,8.98914495595175,87,1.9982791781183467,131,insight,4.710945251673152,"[  0.5364997   -2.9458504   -3.8567538    1.0320637    0.36573002
  -6.304296    -1.6265436  -10.359832    -1.6611792   -2.5443976 ]",17,*,insight*,5,-0.14393576979637146,6.827064037322998
121,9.10153508574263,87,2.0096901333576844,134,technology,4.710945251673152,"[  0.86283296  -2.7936125   -3.6079056    0.9774907    1.2028673
  -6.9423046   -1.8783858  -10.745487    -1.2041415   -3.110313  ]",20,*,technology*,5,-1.9917261600494385,7.9718852043151855
122,7.703032682962348,86,1.871598902277467,135,dimension,4.710945251673152,"[ 1.36002   -3.0176353 -3.6664724  1.2932888  0.587377  -6.616022
 -1.0443947 -9.483004  -0.7590452 -3.5747888]",-1,,dimension,50,0.457680881023407,8.921430587768555
123,7.946279021123772,86,1.8964249828971855,136,similarity,4.710945251673152,"[ 1.4530118  -3.2945821  -3.5195339   0.99037534 -0.05768662 -5.778493
 -1.5478259  -9.392438   -1.3949035  -3.1089332 ]",-1,,similarity,51,0.11818282306194305,3.527609348297119
124,14.733551908475276,84,2.604781223395584,140,scale,4.710945251673152,"[ 1.3261136 -3.134242  -3.8483791  1.0090247  0.1817017 -6.3572674
 -1.4102757 -9.3003845 -0.7959908 -3.4823065]",19,*,scale*,2,1.3052440881729126,5.047374725341797
126,41.05393590813262,83,5.34242890310871,143,provenance,4.710945251673152,"[ 0.8879551  -3.3614202  -4.014099    0.93619287  0.43401122 -6.2477384
 -1.3145093  -9.690169   -0.8574458  -2.645162  ]",-1,,provenance,52,1.8820674419403076,5.651554107666016
127,13.480326714153529,79,2.513278411828368,145,metaphor,4.710945251673152,"[  0.8474379   -2.4189546   -3.2858305    1.8451358    1.4934559
  -6.8960238   -0.93699425 -10.009059    -0.7602007   -3.06832   ]",-1,,metaphor,53,0.899396538734436,10.862765312194824
128,7.234676592691316,78,1.8551762913177305,146,function,4.710945251673152,"[ 1.7465473  -3.0012994  -3.5159378   1.0785929   0.57223886 -6.3462725
 -0.81361157 -9.963619   -0.9371378  -2.8864968 ]",-1,,function,54,0.09453214704990387,8.63472843170166
129,9.890705400043478,78,2.1384170595306995,147,weight,4.710945251673152,"[ 1.265694   -3.407394   -3.7008064   1.0882627   0.19044931 -6.396301
 -1.2136239  -9.429732   -1.0686558  -3.4642138 ]",19,*,weight*,3,1.1231098175048828,4.886422157287598
130,11.398699383599487,77,2.3060211722035757,150,transactions,4.710945251673152,"[  0.6888539  -2.2879384  -3.6963775   1.3378083   1.1739391  -6.468796
  -1.0236605 -10.355385   -1.4263786  -2.821068 ]",-1,,transactions,55,1.8582723140716553,10.21872615814209
131,5.175849965079523,77,1.6385717523015895,151,interest,4.710945251673152,"[ 0.6608387  -2.8879888  -4.0468407   0.96889013  0.4097826  -6.200115
 -1.2065855  -9.552942   -0.92767876 -2.65975   ]",-1,,interest,56,2.0117106437683105,5.84287691116333
132,12.298513322140735,76,2.4100071353523713,154,dimensions,4.710945251673152,"[ 1.3559709 -3.0079427 -3.694033   1.2951665  0.5989819 -6.581506
 -1.0482891 -9.519321  -0.7951171 -3.5316222]",-1,,dimensions,57,0.43853291869163513,8.86453628540039
133,6.4180650409885995,74,1.783349409088315,157,reduction,4.710945251673152,"[ 1.5591649  -3.054605   -3.4610236   1.0178775  -0.07979027 -5.6387978
 -1.6351888  -9.327331   -1.3548241  -3.089452  ]",-1,,reduction,58,0.037594519555568695,3.4233338832855225
134,7.551899102826622,74,1.907137020286149,158,steering,4.710945251673152,"[  0.3742371   -2.6279938   -3.8712423    0.95544285   0.26278415
  -6.3667974   -1.5321978  -10.140885    -1.6624389   -2.7936816 ]",17,*,steering*,6,0.039241861552000046,6.8836493492126465
135,15.137391944739159,74,2.7352917479157406,159,weighting,4.710945251673152,"[ 1.3573135  -3.4789684  -3.5887127   1.1793128   0.21878618 -6.363278
 -1.1661355  -9.484024   -1.1972024  -3.523628  ]",-1,,weighting,59,1.1152443885803223,4.886940002441406
